OID,field,description
-1,Class II Inventory,Class II Inventory
-1,Class III Inventory,Class III Inventory
-1,Excavation,Excavation
-1,Monitoring,Monitoring
-1,Site Specific Study,Site Specific Study
-1,Other,Other
-1,Unknown,Unknown
-1,Class II and Class III,Class II and Class III Inventory
-1,Ethnographic Study,Ethnographic Study
-1,Collections Non-Field Study,Collections or Non-Field Study
