OID,field,description
-1,Building,Building
-1,Cultural ACEC,Cultural ACEC
-1,District,District
-1,Landscape,Landscape
-1,National Landmark,National Landmark
-1,Object,Object
-1,Sacred Site,Sacred Site
-1,Site,Site
-1,Structure,Structure
-1,Traditional Cultural Property,Traditional Cultural Property
-1,World Heritage Site,World Heritage Site
