OID,field,description
-1,AK,Alaska
-1,AZ,Arizona
-1,CA,California
-1,CO,Colorado
-1,ID,Idaho
-1,MT,Montana
-1,NM,New Mexico
-1,NV,Nevada
-1,OR,Oregon
-1,UT,Utah
-1,WY,Wyoming
-1,ES,Eastern States
