ORIGIN_CLASS_NAME,ORIGIN_CLASS_KEY,DESTINATION_CLASS_NAME,DESTINATION_CLASS_KEY,FORWARD_PATH_LABEL,BACKWARD_PATH_LABEL,CARDINALITY,CLASS_KEY,KEY_TYPE,IS_ATTRIBUTED,IS_COMPOSITE,IS_REFLEXIVE,NOTIFICATION
[u'CRM_Resources'],"[(u'CRM_RSRCE_ID', u'OriginPrimary', u''), (u'CRM_RSRCE_ID', u'OriginForeign', u'')]",[u'CRM_RSRCE_INVSTGTN_TBL'],"[(u'CRM_RSRCE_ID', u'DestinationPrimary', u''), (u'CRM_RSRCE_FK_ID', u'DestinationForeign', u'')]",CRM_RSRCE_INVSTGTN_TBL,CRM_Resources,ManyToMany,Undefined,Single,False,False,False,None
[u'CRM_Investigations'],"[(u'CRM_INVSTGTN_ID', u'OriginPrimary', u''), (u'CRM_INVSTGTN_ID', u'OriginForeign', u'')]",[u'CRM_RSRCE_INVSTGTN_TBL'],"[(u'CRM_INVSTGTN_ID', u'DestinationPrimary', u''), (u'CRM_INVSTGTN_FK_ID', u'DestinationForeign', u'')]",CRM_RSRCE_INVSTGTN_TBL,CRM_Investigations,ManyToMany,Undefined,Single,False,False,False,None
